GROWTH_PLATFORM_NM,SVC_LINE_NM,PRACTICE_NM,SVC_AREA_NM,CAPACITY_GROUP_NM,JRS_NM,NEW_GROWTH_PLATFORM_NM,NEW_SVC_LINE_NM,NEW_PRACTICE_NM,ECONOMIC_MODEL_NM,NEW_SVC_AREA_NM,NEW_JRS_NM,PRACTICE_TYPE_NM,JRS_ACTION,COMMENTS
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Consulting Services,Functional Manager-Consulting Services,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Consulting Services,Measurements & Reporting Analyst-Consulting Services,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Exec. Support,Executive Administrative Assistant-Local,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Executive/People Mgmt/General,Executive-Application Services,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Executive/People Mgmt/General,Executive-Consulting Services,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Executive/People Mgmt/General,Executive-Strategic Initiatives,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Executive/People Mgmt/General,Functional Manager-Executive Initiatives,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Executive/People Mgmt/General,Functional Manager-Tools & Information,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Executive/People Mgmt/General,People Manager-HR Processes,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Finance,Financial Analyst-Consolidation & Planning,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Finance,Functional Manager-Finance,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Finance,Measurements & Reporting Analyst-Finance,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Leadership & Support,Leadership & Support,N/A - Indirect,Indirect Global Delivery,Functional Manager-Global Delivery,Business Support,Leadership & Support,Leadership & Support,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Business Operations Professional-Delivery Center,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Business Operations Professional-Local,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Business Operations Professional-Sector/Country/Client Unit,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Business Operations Professional-Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Functional Manager-Business & Engagement Performance (B&EP),Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Functional Manager-Business Controls,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Functional Manager-Contract Support,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Functional Manager-Sales Operations,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Measurements & Reporting Analyst-Business & Engagement Performance (B&EP),Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect B&EP,Measurements & Reporting Analyst-Sales Operations,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Advisor-Strategic Operations,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Analyst-Business Operations,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Information Management Specialist-Business Operations,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Operations Professional-Market Intelligence,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Operations Professional-Shared Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Programs Manager-Business Operations,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Business Writer-Market Intelligence,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Measurements & Reporting Analyst-Shared Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Program Manager-Business Analysis & Insight,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Strategy Principal-Business Value & Insight,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Strategy Principal-Industry & Emerging Technologies,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect BMO,Strategy Principal-Planning & Growth Initiatives,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect CMPA,Contract Commercial Manager-Shared Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect CMPA,Contract Management Advisor-Shared Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
